location,population,HighestInfectionCount,PercentPopulationInfected
Faeroe Islands,52888,34658,65.530933292996522
Cyprus,896007,574124,64.0758386932245
Gibraltar,32670,20049,61.3682277318641
San Marino,33746,20224,59.930065785574584
Andorra,79034,45975,58.171166839588025
Denmark,5854240,3262219,55.724039328760014
Iceland,370335,204057,55.100652112276727
Austria,8922082,4898954,54.908192953169454
Saint Pierre and Miquelon,5883,3131,53.221145673975869
Portugal,10290103,5391747,52.397405545892006
Slovenia,2119410,1110255,52.385097739465223
France,67422000,34381962,50.995167749399307
Falkland Islands,3764,1881,49.973432518597235
Israel,9291000,4622049,49.747594446238296
Liechtenstein,39039,18985,48.630856323164018
Brunei,445373,215283,48.33768549058879
Netherlands,17501696,8383655,47.901957615993332
Latvia,1873919,889656,47.475691318568195
Slovakia,5447622,2584276,47.438607157398224
Switzerland,8691406,4012610,46.167559080774737
Georgia,3757980,1723087,45.851414855853413
Bahrain,1463265,669147,45.729720863958342
Isle of Man,84263,37794,44.852426331841968
Estonia,1328701,595419,44.812113485276221
Luxembourg,639321,285552,44.664886653183608
Greece,10445365,4654737,44.562703170257812
Cayman Islands,68136,29907,43.89309616061994
Montenegro,627859,272180,43.35049748430778
Lithuania,2786651,1207268,43.32325791783758
Seychelles,106470,45852,43.065652296421526
South Korea,51830139,22129387,42.69598235111814
Bonaire Sint Eustatius and Saba,26706,11091,41.529993259941591
Aruba,106536,42638,40.022152136367048
Monaco,36686,14309,39.003979719784112
Belgium,11611420,4466095,38.462952851589208
Czechia,10510750,4024378,38.288209690079206
Australia,25921089,9902669,38.203136450015663
Germany,83408554,31808179,38.135391964713833
Cook Islands,17003,6265,36.846438863729929
Italy,59240330,21606606,36.472798176512519
Maldives,521458,184689,35.41780929624246
Barbados,281200,99204,35.278805120910384
United Kingdom,67281040,23549842,35.002196755579284
New Zealand,5129728,1712957,33.392745190388261
Singapore,5453600,1812255,33.230434942056625
Ireland,4986526,1653576,33.160881944664482
Serbia,6871547,2236301,32.5443600982428
Croatia,4060135,1204642,29.669998657680104
Palau,18024,5308,29.449622725255214
Mongolia,3347782,973272,29.072143885115576
Uruguay,3426260,975264,28.464389742751571
Spain,47486935,13314764,28.038794249407754
United States,336997624,93500945,27.745283153687755
Bermuda,64185,17674,27.536028667134065
Norway,5403021,1458896,27.001486760832506
New Caledonia,287800,73116,25.405142460041695
French Polynesia,304032,76285,25.091108830649407
Montserrat,4417,1106,25.039619651347067
Sweden,10467097,2558943,24.447494849813658
Anguilla,15753,3746,23.779597536977086
Curacao,190338,45243,23.7698200044132
British Virgin Islands,31122,7131,22.913051860420282
Chile,19493184,4421815,22.683903255620017
Finland,5535992,1250557,22.589573828863916
Panama,4351267,966779,22.218333188930949
Malta,526748,113721,21.589260898949782
Marshall Islands,42050,9077,21.586206896551722
Lebanon,5592631,1202481,21.501168233698952
Greenland,56243,11971,21.284426506409687
Argentina,45276780,9633732,21.277422996953405
Taiwan,23859912,4998765,20.950475425056052
Hungary,9709786,2021648,20.820726635993829
Costa Rica,5153957,1069162,20.744488167053003
Dominica,72412,14852,20.510412638789152
Turkey,84775404,16671848,19.665902152468657
Mauritius,1298915,254400,19.585577193272847
Hong Kong,7494578,1445336,19.285088499979587
Moldova,3061506,561196,18.330716973933743
Bulgaria,6885868,1233050,17.90696539637414
Belize,400031,67961,16.988933357664781
Romania,19328560,3181065,16.457847868646187
North Macedonia,2103330,337513,16.046602292555139
Poland,38307726,6138093,16.023120244725568
Brazil,214326223,34264237,15.986955082019991
Saint Lucia,179652,28542,15.887382272393294
Qatar,2688235,422686,15.723550954436647
Jordan,11148278,1726717,15.488643178794071
Kuwait,4250114,656393,15.444126910478165
Armenia,2790974,430361,15.419742355177798
Grenada,124610,19113,15.338255356712944
Kosovo,1782115,269158,15.103290191710411
Malaysia,33573874,4752490,14.155322081687682
Turks and Caicos Islands,45114,6351,14.077669902912621
Saint Kitts and Nevis,47606,6495,13.643238247279754
Palestine,5133392,697447,13.586474596134485
Japan,124612530,16708985,13.408751912829311
Tonga,106017,14135,13.332767386362566
Suriname,612984,81007,13.215189956018428
Russia,145102755,18760762,12.929294140555776
Botswana,2588423,325850,12.588746120707473
Colombia,51516562,6293130,12.215741415352989
Ukraine,43531422,5312730,12.204356659885818
Peru,33715472,4055454,12.028465744154495
Bosnia and Herzegovina,3270943,393235,12.022068253711545
Vietnam,97468028,11379554,11.675165932360917
Trinidad and Tobago,1525663,176468,11.566643485487948
Albania,2854710,325241,11.393136255521577
Canada,38155012,4166257,10.919291546809106
United Arab Emirates,9365144,1008435,10.767960428584974
Paraguay,6703799,714340,10.655749076008991
Cape Verde,587925,62282,10.5935280860654
Belarus,9578168,994037,10.378153734618143
Cuba,11256372,1109837,9.8596332814871435
Antigua and Barbuda,93220,8895,9.5419437888865044
Tunisia,12262946,1141773,9.31075615924591
Bahamas,407906,36958,9.0604207832196639
Saint Vincent and the Grenadines,104332,9447,9.0547483034926959
Bolivia,12079472,1089997,9.02354838026033
Guyana,804567,70788,8.79827285981155
Oman,4520471,397574,8.7949684889030362
Iran,87923432,7501534,8.5318939779329828
Azerbaijan,10312992,807516,7.83008461559943
Bhutan,777486,60779,7.8173754897194287
Kazakhstan,19196465,1471733,7.6666875906579683
Libya,6735277,506515,7.5203291564697334
Fiji,924610,68028,7.3574804512172705
Samoa,218764,15405,7.0418350368433567
South Africa,59392255,4009509,6.750895381897859
Namibia,2530151,169253,6.6894426459132283
Wallis and Futuna,11627,761,6.5451105186204517
Thailand,71601103,4632212,6.4694701700335528
Micronesia (country),113131,7202,6.3660711918041919
Eswatini,1192271,73344,6.1516215692573244
Guatemala,17608483,1082925,6.1500187154112025
Dominican Republic,11117874,635461,5.71567010023679
Vatican,511,29,5.6751467710371815
Iraq,43533592,2454213,5.6375155075648244
Ecuador,17797737,988583,5.5545432545721969
Mexico,126705138,6949653,5.4849022776014023
Jamaica,2827694,148627,5.25612035814342
Honduras,10278346,450393,4.3819598989954214
Vanuatu,319136,11770,3.6880828236237839
Morocco,37076584,1263865,3.408795697036167
Philippines,113880328,3848449,3.3793799750910445
Nepal,30034989,994859,3.3123334921148135
India,1407563842,44327890,3.1492631934203952
Kyrgyzstan,6527743,205198,3.1434754707714445
Sri Lanka,21773441,668827,3.0717560903671588
Solomon Islands,707851,21544,3.0435783801958318
El Salvador,6314167,190818,3.0220613423750113
Laos,7425058,213072,2.8696341496591677
Sao Tome and Principe,223107,6123,2.7444230795089353
Kiribati,128874,3430,2.6615143473470213
Indonesia,273753191,6306686,2.3037853830898358
Saudi Arabia,35950396,812486,2.2600196114668667
Gabon,2341179,48635,2.0773721274622745
Venezuela,28199866,540977,1.9183672716742695
Timor,1320942,23114,1.7498118766758874
Zambia,19473125,332264,1.7062695381455211
Zimbabwe,15993524,256596,1.6043743705264708
Lesotho,2281454,34206,1.4993070208735306
Djibouti,1105557,15690,1.4191941256760165
Mauritania,4614974,62726,1.3591842554259244
Bangladesh,169356251,2009697,1.1866683326616623
Myanmar,53798084,614573,1.1423696799313523
Equatorial Guinea,1634466,16917,1.0350169413129426
Comoros,821626,8409,1.0234583618337296
Rwanda,13461888,132385,0.9834058937349649
Cambodia,16589023,137377,0.82811989590948176
Mozambique,32077072,229975,0.71694511269607153
Uzbekistan,34081449,243638,0.7148698401878395
Pakistan,231402116,1565319,0.67644973479844928
Kenya,53005614,338022,0.63770980937981392
Algeria,44177969,269650,0.61037210651309026
Senegal,16876720,87890,0.52077654899767256
Ghana,32833031,168457,0.51307172950313362
Afghanistan,40099462,190254,0.47445524331473576
Egypt,109262178,515645,0.47193366399853381
Gambia,2639916,12238,0.46357535618557555
Papua New Guinea,9949437,44846,0.45073907196959989
Cameroon,27198628,120967,0.4447540515646598
Togo,8644829,38348,0.44359466219632565
Malawi,19889742,87771,0.44128777537687514
Congo,5835806,24837,0.42559673847965473
Guinea-Bissau,2060721,8482,0.41160351158647868
Ethiopia,120283026,492935,0.4098126031515037
Burundi,12551213,48808,0.38887078085600174
Uganda,45853778,169396,0.36942648433461683
Cote d'Ivoire,27478249,86372,0.31432861679068413
Angola,34503774,102636,0.29746311229606359
Haiti,11447569,32703,0.28567637373489513
Eritrea,3620312,10149,0.28033495455640284
Guinea,13531906,37470,0.27690112538470191
Central African Republic,5457154,14803,0.27125860842483096
Syria,21324367,56831,0.26650732469573424
Madagascar,28915653,66599,0.23032161853650687
Nicaragua,6850540,14899,0.217486504713497
Benin,12996895,27316,0.21017327600169117
Tajikistan,9750064,17786,0.18241931540141687
South Sudan,10748272,17823,0.16582200376023234
Somalia,17065581,27020,0.15833038441527425
Liberia,5193416,7656,0.14741742236708941
Mali,21904983,31257,0.14269355972565692
Sudan,45657202,63147,0.13830676702440065
Nigeria,213401323,262748,0.12312388522539759
Macao,686607,793,0.11549547266485778
Democratic Republic of Congo,95894118,92543,0.096505397755470262
Burkina Faso,22100683,21128,0.095598855474285566
Sierra Leone,8420641,7743,0.0919526197589946
Saint Helena,5404,4,0.074019245003700954
China,1425893464,936040,0.065645858097572424
Tanzania,63588334,38454,0.060473356638027352
Chad,17179740,7458,0.043411599942723235
Niger,25252722,9183,0.0363643966777126
Yemen,32981641,11915,0.036126158792402115
North Korea,25971909,1,3.850313814051944e-06
Western Sahara,565581,,
Guernsey,63065,,
Guam,170534,,
Jersey,109618,,
Northern Mariana Islands,49481,,
Niue,1937,,
Nauru,12512,,
Pitcairn,47,,
Puerto Rico,3256028,,
Sint Maarten (Dutch part),44042,,
Tokelau,1849,,
Turkmenistan,6341855,,
Tuvalu,11204,,
United States Virgin Islands,100091,,
Northern Cyprus,,,
